ingredient,skin_type,label
Isononyl Isononanoate,복합성,NORMAL
Ethylene/?Propylene/?Styrene Copolymer,건성,GOOD
Ethylene/?Propylene/?Styrene Copolymer,지성,CAUTION
Ethylene/?Propylene/?Styrene Copolymer,복합성,NORMAL
Silica Dimethyl Silylate,건성,NORMAL
Silica Dimethyl Silylate,지성,NORMAL
Silica Dimethyl Silylate,복합성,NORMAL
Butylene/?Ethylene/?Styrene Copolymer,건성,NORMAL
Butylene/?Ethylene/?Styrene Copolymer,지성,NORMAL
Butylene/?Ethylene/?Styrene Copolymer,복합성,NORMAL
Trihydroxystearin,건성,NORMAL
Trihydroxystearin,지성,NORMAL
Trihydroxystearin,복합성,NORMAL
Glucomannan,건성,CAUTION
Glucomannan,지성,NORMAL
Glucomannan,복합성,CAUTION
"Ethyl 2,2-Dimethylhydrocinnamal",건성,CAUTION
"Ethyl 2,2-Dimethylhydrocinnamal",지성,CAUTION
"Ethyl 2,2-Dimethylhydrocinnamal",복합성,CAUTION
Alpha-Arbutin,건성,NORMAL
Alpha-Arbutin,지성,NORMAL
Alpha-Arbutin,복합성,NORMAL
Ethylhexyl Palmitate,건성,GOOD
Ethylhexyl Palmitate,지성,CAUTION
Ethylhexyl Palmitate,복합성,NORMAL
Curculigo Orchioides Root Extract,건성,GOOD
Curculigo Orchioides Root Extract,지성,NORMAL
Curculigo Orchioides Root Extract,복합성,GOOD
Gallyl Glucoside,건성,GOOD
Gallyl Glucoside,지성,NORMAL
Gallyl Glucoside,복합성,GOOD
Arbutin,건성,NORMAL
Arbutin,지성,NORMAL
Arbutin,복합성,NORMAL
Epigallocatechin Gallatyl Glucoside,건성,GOOD
Epigallocatechin Gallatyl Glucoside,지성,NORMAL
Epigallocatechin Gallatyl Glucoside,복합성,NORMAL
Disodium Acetyl Glucosamine Phosphate,건성,GOOD
Disodium Acetyl Glucosamine Phosphate,지성,NORMAL
Disodium Acetyl Glucosamine Phosphate,복합성,NORMAL
Rosa Canina Seed Oil,건성,GOOD
Rosa Canina Seed Oil,지성,GOOD
Rosa Canina Seed Oil,복합성,NORMAL
Mandelic Acid,건성,CAUTION
Mandelic Acid,지성,GOOD
Mandelic Acid,복합성,NORMAL
Pelargonium Graveolens Flower Oil,건성,CAUTION
Pelargonium Graveolens Flower Oil,지성,CAUTION
Pelargonium Graveolens Flower Oil,복합성,CAUTION
Kigelia Africana Fruit Extract,건성,CAUTION
Kigelia Africana Fruit Extract,지성,CAUTION
Kigelia Africana Fruit Extract,복합성,CAUTION
Behenyl Alcohol,건성,NORMAL
Behenyl Alcohol,지성,NORMAL
Behenyl Alcohol,복합성,NORMAL
Glyceryl Stearate Citrate,건성,GOOD
Glyceryl Stearate Citrate,지성,GOOD
Glyceryl Stearate Citrate,복합성,GOOD
Nylon-12,건성,NORMAL
Nylon-12,지성,NORMAL
Nylon-12,복합성,NORMAL
Pogostemon Cablin Leaf Oil,건성,CAUTION
Pogostemon Cablin Leaf Oil,지성,CAUTION
Pogostemon Cablin Leaf Oil,복합성,CAUTION
Hydroxypropyl Tetrahydropyrantriol,건성,NORMAL
Hydroxypropyl Tetrahydropyrantriol,지성,NORMAL
Hydroxypropyl Tetrahydropyrantriol,복합성,NORMAL
Prunus Armeniaca Kernel Oil,건성,GOOD
Prunus Armeniaca Kernel Oil,지성,NORMAL
Prunus Armeniaca Kernel Oil,복합성,NORMAL
Sorbic Acid,건성,NORMAL
Sorbic Acid,지성,NORMAL
Sorbic Acid,복합성,NORMAL
Dimethiconol,건성,NORMAL
Dimethiconol,지성,GOOD
Dimethiconol,복합성,NORMAL
Dimethicone Crosspolymer,건성,NORMAL
Dimethicone Crosspolymer,지성,NORMAL
Dimethicone Crosspolymer,복합성,NORMAL
Sodium Cocoyl Glutamate,건성,NORMAL
Sodium Cocoyl Glutamate,지성,NORMAL
Sodium Cocoyl Glutamate,복합성,NORMAL
Isopropyl Isostearate,건성,NORMAL
Isopropyl Isostearate,지성,GOOD
Isopropyl Isostearate,복합성,NORMAL
Cetearyl Glucoside,건성,NORMAL
Cetearyl Glucoside,지성,NORMAL
Cetearyl Glucoside,복합성,NORMAL
Palmitoyl Pentapeptide-4,건성,NORMAL
Palmitoyl Pentapeptide-4,지성,NORMAL
Palmitoyl Pentapeptide-4,복합성,NORMAL
Sodium Acrylates Copolymer,건성,NORMAL
Sodium Acrylates Copolymer,지성,NORMAL
Sodium Acrylates Copolymer,복합성,NORMAL
Polyethylene,건성,NORMAL
Polyethylene,지성,CAUTION
Polyethylene,복합성,NORMAL
Aluminum Starch Octenylsuccinate,건성,NORMAL
Aluminum Starch Octenylsuccinate,지성,NORMAL
Aluminum Starch Octenylsuccinate,복합성,NORMAL
Ethylparaben,건성,NORMAL
Ethylparaben,지성,NORMAL
Ethylparaben,복합성,NORMAL
Mica,건성,NORMAL
Mica,지성,NORMAL
Mica,복합성,NORMAL
Oleic Acid,건성,GOOD
Oleic Acid,지성,CAUTION
Oleic Acid,복합성,NORMAL
Polysilicone-11,건성,NORMAL
Polysilicone-11,지성,GOOD
Polysilicone-11,복합성,NORMAL
Triolein,건성,NORMAL
Triolein,지성,NORMAL
Triolein,복합성,NORMAL
Glycine Soja Seed Extract,건성,NORMAL
Glycine Soja Seed Extract,지성,NORMAL
Glycine Soja Seed Extract,복합성,NORMAL
Isoceteth-20,건성,CAUTION
Isoceteth-20,지성,CAUTION
Isoceteth-20,복합성,CAUTION
Aminomethyl Propanol,건성,NORMAL
Aminomethyl Propanol,지성,NORMAL
Aminomethyl Propanol,복합성,NORMAL
Argania Spinosa Kernel Oil,건성,GOOD
Argania Spinosa Kernel Oil,지성,GOOD
Argania Spinosa Kernel Oil,복합성,NORMAL
Simmondsia Chinensis Seed Oil,건성,GOOD
Simmondsia Chinensis Seed Oil,지성,GOOD
Simmondsia Chinensis Seed Oil,복합성,GOOD
Plukenetia Volubilis Seed Oil,건성,GOOD
Plukenetia Volubilis Seed Oil,지성,NORMAL
Plukenetia Volubilis Seed Oil,복합성,NORMAL
Carthamus Tinctorius Seed Oil,건성,GOOD
Carthamus Tinctorius Seed Oil,지성,GOOD
Carthamus Tinctorius Seed Oil,복합성,NORMAL
Cyclomethicone,건성,NORMAL
Cyclomethicone,지성,NORMAL
Cyclomethicone,복합성,NORMAL
Menthol,건성,CAUTION
Menthol,지성,CAUTION
Menthol,복합성,CAUTION
Disteardimonium Hectorite,건성,NORMAL
Disteardimonium Hectorite,지성,NORMAL
Disteardimonium Hectorite,복합성,NORMAL
Trisiloxane,건성,NORMAL
Trisiloxane,지성,GOOD
Trisiloxane,복합성,NORMAL
DMDM Hydantoin,건성,NORMAL
DMDM Hydantoin,지성,NORMAL
DMDM Hydantoin,복합성,NORMAL
Simethicone,건성,NORMAL
Simethicone,지성,NORMAL
Simethicone,복합성,NORMAL
Ammonium Xylenesulfonate,건성,NORMAL
Ammonium Xylenesulfonate,지성,NORMAL
Ammonium Xylenesulfonate,복합성,NORMAL
Sodium Borate,건성,NORMAL
Sodium Borate,지성,NORMAL
Sodium Borate,복합성,NORMAL
Ammonium Lauryl Sulfate,건성,CAUTION
Ammonium Lauryl Sulfate,지성,NORMAL
Ammonium Lauryl Sulfate,복합성,NORMAL
Carthamus Tinctorius Oleosomes,건성,GOOD
Carthamus Tinctorius Oleosomes,지성,NORMAL
Carthamus Tinctorius Oleosomes,복합성,NORMAL
Leuconostoc Ferment Filtrate,건성,NORMAL
Leuconostoc Ferment Filtrate,지성,NORMAL
Leuconostoc Ferment Filtrate,복합성,NORMAL
Borago Officinalis Leaf Extract,건성,NORMAL
Borago Officinalis Leaf Extract,지성,NORMAL
Borago Officinalis Leaf Extract,복합성,NORMAL
Lactobacillus/?Arundinaria Gigantea Ferment Filtrate,건성,NORMAL
Lactobacillus/?Arundinaria Gigantea Ferment Filtrate,지성,NORMAL
Lactobacillus/?Arundinaria Gigantea Ferment Filtrate,복합성,NORMAL
Tridecyl Stearate,건성,NORMAL
Tridecyl Stearate,지성,NORMAL
Tridecyl Stearate,복합성,NORMAL
Aloe Barbadensis Leaf Extract,건성,GOOD
Aloe Barbadensis Leaf Extract,지성,NORMAL
Aloe Barbadensis Leaf Extract,복합성,NORMAL
Boswellia Serrata Extract,건성,CAUTION
Boswellia Serrata Extract,지성,CAUTION
Boswellia Serrata Extract,복합성,CAUTION
Sorbitan Palmitate,건성,NORMAL
Sorbitan Palmitate,지성,CAUTION
Sorbitan Palmitate,복합성,NORMAL
Tetrapeptide-14,건성,NORMAL
Tetrapeptide-14,지성,NORMAL
Tetrapeptide-14,복합성,NORMAL
Neopentyl Glycol Dicaprylate/?Dicaprate,건성,GOOD
Neopentyl Glycol Dicaprylate/?Dicaprate,지성,CAUTION
Neopentyl Glycol Dicaprylate/?Dicaprate,복합성,NORMAL
Tridecyl Trimellitate,건성,NORMAL
Tridecyl Trimellitate,지성,NORMAL
Tridecyl Trimellitate,복합성,NORMAL
Polyglyceryl-3 Diisostearate,건성,NORMAL
Polyglyceryl-3 Diisostearate,지성,NORMAL
Polyglyceryl-3 Diisostearate,복합성,NORMAL
Polyglyceryl-3 Polyricinoleate,건성,NORMAL
Polyglyceryl-3 Polyricinoleate,지성,GOOD
Polyglyceryl-3 Polyricinoleate,복합성,NORMAL
Honey Extract,건성,GOOD
Honey Extract,지성,NORMAL
Honey Extract,복합성,GOOD
Tretinoin,건성,GOOD
Tretinoin,지성,GOOD
Tretinoin,복합성,CAUTION
Astaxanthin,건성,NORMAL
Astaxanthin,지성,NORMAL
Astaxanthin,복합성,NORMAL
Cycloastragenol,건성,NORMAL
Cycloastragenol,지성,NORMAL
Cycloastragenol,복합성,NORMAL
Kappaphycus Alvarezii Extract,건성,NORMAL
Kappaphycus Alvarezii Extract,지성,NORMAL
Kappaphycus Alvarezii Extract,복합성,NORMAL
SH-Polypeptide-11,건성,NORMAL
SH-Polypeptide-11,지성,NORMAL
SH-Polypeptide-11,복합성,NORMAL
Acetyl Tetrapeptide-5,건성,NORMAL
Acetyl Tetrapeptide-5,지성,NORMAL
Acetyl Tetrapeptide-5,복합성,NORMAL
Cocos Nucifera Fruit Juice,건성,GOOD
Cocos Nucifera Fruit Juice,지성,NORMAL
Cocos Nucifera Fruit Juice,복합성,NORMAL
Cetyl Ethylhexanoate,건성,GOOD
Cetyl Ethylhexanoate,지성,GOOD
Cetyl Ethylhexanoate,복합성,NORMAL
Isostearic Acid,건성,NORMAL
Isostearic Acid,지성,NORMAL
Isostearic Acid,복합성,NORMAL
Palmitoyl Tripeptide-5,건성,NORMAL
Palmitoyl Tripeptide-5,지성,NORMAL
Palmitoyl Tripeptide-5,복합성,NORMAL
Palmitoyl Hexapeptide-14,건성,NORMAL
Palmitoyl Hexapeptide-14,지성,NORMAL
Palmitoyl Hexapeptide-14,복합성,NORMAL
Polyglyceryl-4 Laurate/?Succinate,건성,NORMAL
Polyglyceryl-4 Laurate/?Succinate,지성,NORMAL
Polyglyceryl-4 Laurate/?Succinate,복합성,NORMAL
Cellulose Gum,건성,NORMAL
Cellulose Gum,지성,NORMAL
Cellulose Gum,복합성,NORMAL
Sorbitan Sesquiisostearate,건성,NORMAL
Sorbitan Sesquiisostearate,지성,NORMAL
Sorbitan Sesquiisostearate,복합성,NORMAL
Globularia Cordifolia Callus Culture Extract,건성,NORMAL
Globularia Cordifolia Callus Culture Extract,지성,NORMAL
Globularia Cordifolia Callus Culture Extract,복합성,NORMAL
Rosa Canina Fruit Oil,건성,CAUTION
Rosa Canina Fruit Oil,지성,CAUTION
Rosa Canina Fruit Oil,복합성,CAUTION
Polyhydroxystearic Acid,건성,NORMAL
Polyhydroxystearic Acid,지성,NORMAL
Polyhydroxystearic Acid,복합성,NORMAL
Iron Oxides,건성,NORMAL
Iron Oxides,지성,NORMAL
Iron Oxides,복합성,NORMAL
Salicornia Herbacea Extract,건성,GOOD
Salicornia Herbacea Extract,지성,NORMAL
Salicornia Herbacea Extract,복합성,GOOD
Astragalus Membranaceus Root Extract,건성,NORMAL
Astragalus Membranaceus Root Extract,지성,GOOD
Astragalus Membranaceus Root Extract,복합성,NORMAL
Jojoba Esters,건성,GOOD
Jojoba Esters,지성,GOOD
Jojoba Esters,복합성,NORMAL
Isododecane,건성,GOOD
Isododecane,지성,GOOD
Isododecane,복합성,GOOD
Paraffinum Liquidum,건성,GOOD
Paraffinum Liquidum,지성,CAUTION
Paraffinum Liquidum,복합성,CAUTION
Tropolone,건성,CAUTION
Tropolone,지성,NORMAL
Tropolone,복합성,NORMAL
Titanium Dioxide,건성,CAUTION
Titanium Dioxide,지성,GOOD
Titanium Dioxide,복합성,NORMAL
PEG-6 Caprylic/?Capric Glycerides,건성,NORMAL
PEG-6 Caprylic/?Capric Glycerides,지성,NORMAL
PEG-6 Caprylic/?Capric Glycerides,복합성,NORMAL
Microcrystalline Cellulose,건성,NORMAL
Microcrystalline Cellulose,지성,GOOD
Microcrystalline Cellulose,복합성,NORMAL
Pullulan,건성,CAUTION
Pullulan,지성,NORMAL
Pullulan,복합성,NORMAL
Teprenone,건성,GOOD
Teprenone,지성,GOOD
Teprenone,복합성,GOOD
Erythrulose,건성,NORMAL
Erythrulose,지성,NORMAL
Erythrulose,복합성,NORMAL
Lactobacillus/?Kelp Ferment Filtrate,건성,GOOD
Lactobacillus/?Kelp Ferment Filtrate,지성,NORMAL
Lactobacillus/?Kelp Ferment Filtrate,복합성,NORMAL
Acetyl Hexapeptide-1,건성,NORMAL
Acetyl Hexapeptide-1,지성,NORMAL
Acetyl Hexapeptide-1,복합성,NORMAL
4-T-Butylcyclohexanol,건성,CAUTION
4-T-Butylcyclohexanol,지성,NORMAL
4-T-Butylcyclohexanol,복합성,NORMAL
Cetraria Islandica Thallus Extract,건성,GOOD
Cetraria Islandica Thallus Extract,지성,NORMAL
Cetraria Islandica Thallus Extract,복합성,NORMAL
Polypodium Vulgare Rhizome Extract,건성,NORMAL
Polypodium Vulgare Rhizome Extract,지성,NORMAL
Polypodium Vulgare Rhizome Extract,복합성,NORMAL
Tin Oxide,건성,NORMAL
Tin Oxide,지성,NORMAL
Tin Oxide,복합성,NORMAL
Camelina Sativa Seed Oil,건성,GOOD
Camelina Sativa Seed Oil,지성,NORMAL
Camelina Sativa Seed Oil,복합성,NORMAL
Prunus Domestica Seed Extract,건성,GOOD
Prunus Domestica Seed Extract,지성,CAUTION
Prunus Domestica Seed Extract,복합성,CAUTION
Persea Gratissima Oil Unsaponifiables,건성,GOOD
Persea Gratissima Oil Unsaponifiables,지성,CAUTION
Persea Gratissima Oil Unsaponifiables,복합성,CAUTION
Pelargonium Graveolens Oil,건성,CAUTION
Pelargonium Graveolens Oil,지성,CAUTION
Pelargonium Graveolens Oil,복합성,CAUTION
Hydrogenated Polyisobutene,건성,GOOD
Hydrogenated Polyisobutene,지성,CAUTION
Hydrogenated Polyisobutene,복합성,NORMAL
Padina Pavonica Thallus Extract,건성,NORMAL
Padina Pavonica Thallus Extract,지성,NORMAL
Padina Pavonica Thallus Extract,복합성,NORMAL
Helianthus Annuus Seed Oil Unsaponifiables,건성,GOOD
Helianthus Annuus Seed Oil Unsaponifiables,지성,CAUTION
Helianthus Annuus Seed Oil Unsaponifiables,복합성,GOOD
PEG-10 Dimethicone,건성,NORMAL
PEG-10 Dimethicone,지성,NORMAL
PEG-10 Dimethicone,복합성,NORMAL
Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone,건성,NORMAL
Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone,지성,NORMAL
Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone,복합성,NORMAL
Dimethicone/?PEG-10/?15 Crosspolymer,건성,NORMAL
Dimethicone/?PEG-10/?15 Crosspolymer,지성,NORMAL
Dimethicone/?PEG-10/?15 Crosspolymer,복합성,NORMAL
Sodium Polyacrylate,건성,NORMAL
Sodium Polyacrylate,지성,NORMAL
Sodium Polyacrylate,복합성,NORMAL
Acrylonitrile/?Methyl Methacrylate/?Vinylidene Chloride Copolymer,건성,NORMAL
Acrylonitrile/?Methyl Methacrylate/?Vinylidene Chloride Copolymer,지성,NORMAL
Acrylonitrile/?Methyl Methacrylate/?Vinylidene Chloride Copolymer,복합성,NORMAL
PEG/?PPG-18/?18 Dimethicone,건성,NORMAL
PEG/?PPG-18/?18 Dimethicone,지성,NORMAL
PEG/?PPG-18/?18 Dimethicone,복합성,NORMAL
Dipropylene Glycol,건성,NORMAL
Dipropylene Glycol,지성,NORMAL
Dipropylene Glycol,복합성,NORMAL
Isobutane,건성,NORMAL
Isobutane,지성,NORMAL
Isobutane,복합성,NORMAL
T-Butyl Alcohol,건성,CAUTION
T-Butyl Alcohol,지성,NORMAL
T-Butyl Alcohol,복합성,CAUTION
Cholesteryl Oleyl Carbonate,건성,NORMAL
Cholesteryl Oleyl Carbonate,지성,NORMAL
Cholesteryl Oleyl Carbonate,복합성,NORMAL
Cholesteryl Stearate,건성,NORMAL
Cholesteryl Stearate,지성,NORMAL
Cholesteryl Stearate,복합성,NORMAL
Ceramide NG,건성,GOOD
Ceramide NG,지성,NORMAL
Ceramide NG,복합성,GOOD
Cholesteryl Nonanoate,건성,NORMAL
Cholesteryl Nonanoate,지성,NORMAL
Cholesteryl Nonanoate,복합성,NORMAL
Vaccinium Macrocarpon Seed Oil,건성,GOOD
Vaccinium Macrocarpon Seed Oil,지성,NORMAL
Vaccinium Macrocarpon Seed Oil,복합성,GOOD
Crambe Abyssinica Seed Oil,건성,GOOD
Crambe Abyssinica Seed Oil,지성,NORMAL
Crambe Abyssinica Seed Oil,복합성,NORMAL
Tribehenin,건성,NORMAL
Tribehenin,지성,NORMAL
Tribehenin,복합성,NORMAL
Passiflora Edulis Seed Oil,건성,GOOD
Passiflora Edulis Seed Oil,지성,GOOD
Passiflora Edulis Seed Oil,복합성,GOOD
Calophyllum Inophyllum Seed Oil,건성,GOOD
Calophyllum Inophyllum Seed Oil,지성,NORMAL
Calophyllum Inophyllum Seed Oil,복합성,NORMAL
Sorbitan Sesquioleate,건성,GOOD
Sorbitan Sesquioleate,지성,GOOD
Sorbitan Sesquioleate,복합성,NORMAL
Punica Granatum Seed Oil,건성,GOOD
Punica Granatum Seed Oil,지성,NORMAL
Punica Granatum Seed Oil,복합성,NORMAL
PEG-12 Dimethicone/?PPG-20 Crosspolymer,건성,NORMAL
PEG-12 Dimethicone/?PPG-20 Crosspolymer,지성,GOOD
PEG-12 Dimethicone/?PPG-20 Crosspolymer,복합성,NORMAL
Caprylyl Methicone,건성,NORMAL
Caprylyl Methicone,지성,GOOD
Caprylyl Methicone,복합성,NORMAL
Sapindus Mukorossi Fruit Extract,건성,NORMAL
Sapindus Mukorossi Fruit Extract,지성,NORMAL
Sapindus Mukorossi Fruit Extract,복합성,NORMAL
Leontopodium Alpinum Callus Culture Extract,건성,NORMAL
Leontopodium Alpinum Callus Culture Extract,지성,NORMAL
Leontopodium Alpinum Callus Culture Extract,복합성,NORMAL
Ethyl Ascorbic Acid,건성,NORMAL
Ethyl Ascorbic Acid,지성,NORMAL
Ethyl Ascorbic Acid,복합성,NORMAL
Pentaerythrityl Tetraisostearate,건성,NORMAL
Pentaerythrityl Tetraisostearate,지성,NORMAL
Pentaerythrityl Tetraisostearate,복합성,NORMAL
Trimethylsiloxysilicate,건성,NORMAL
Trimethylsiloxysilicate,지성,NORMAL
Trimethylsiloxysilicate,복합성,NORMAL
Hydroxymethoxyphenyl Propylmethylmethoxybenzofuran,건성,NORMAL
Hydroxymethoxyphenyl Propylmethylmethoxybenzofuran,지성,NORMAL
Hydroxymethoxyphenyl Propylmethylmethoxybenzofuran,복합성,NORMAL
Cetearyl Ethylhexanoate,건성,NORMAL
Cetearyl Ethylhexanoate,지성,GOOD
Cetearyl Ethylhexanoate,복합성,GOOD
Palmitoyl Hexapeptide-52,건성,NORMAL
Palmitoyl Hexapeptide-52,지성,NORMAL
Palmitoyl Hexapeptide-52,복합성,NORMAL
Palmitoyl Heptapeptide-18,건성,NORMAL
Palmitoyl Heptapeptide-18,지성,NORMAL
Palmitoyl Heptapeptide-18,복합성,NORMAL
Heptapeptide-15 Palmitate,건성,NORMAL
Heptapeptide-15 Palmitate,지성,NORMAL
Heptapeptide-15 Palmitate,복합성,NORMAL
PPG-3 Isostearyl Methyl Ether,건성,NORMAL
PPG-3 Isostearyl Methyl Ether,지성,NORMAL
PPG-3 Isostearyl Methyl Ether,복합성,NORMAL
Hydroxyphenoxy Propionic Acid,건성,NORMAL
Hydroxyphenoxy Propionic Acid,지성,GOOD
Hydroxyphenoxy Propionic Acid,복합성,NORMAL
Phenylethyl Resorcinol,건성,NORMAL
Phenylethyl Resorcinol,지성,NORMAL
Phenylethyl Resorcinol,복합성,NORMAL
Ruscus Aculeatus Root Extract,건성,CAUTION
Ruscus Aculeatus Root Extract,지성,NORMAL
Ruscus Aculeatus Root Extract,복합성,NORMAL
Pistacia Lentiscus Gum,건성,NORMAL
Pistacia Lentiscus Gum,지성,GOOD
Pistacia Lentiscus Gum,복합성,NORMAL
Methyl Methacrylate/?PEG/?PPG-4/?3 Methacrylate Crosspolymer,건성,NORMAL
Methyl Methacrylate/?PEG/?PPG-4/?3 Methacrylate Crosspolymer,지성,NORMAL
Methyl Methacrylate/?PEG/?PPG-4/?3 Methacrylate Crosspolymer,복합성,NORMAL
Isoamyl Laurate,건성,NORMAL
Isoamyl Laurate,지성,NORMAL
Isoamyl Laurate,복합성,NORMAL
C12-14 Pareth-12,건성,NORMAL
C12-14 Pareth-12,지성,GOOD
C12-14 Pareth-12,복합성,NORMAL
Perfluoroperhydrophenanthrene,건성,NORMAL
Perfluoroperhydrophenanthrene,지성,NORMAL
Perfluoroperhydrophenanthrene,복합성,NORMAL
Perfluorohexane,건성,NORMAL
Perfluorohexane,지성,NORMAL
Perfluorohexane,복합성,NORMAL
Perfluorodecalin,건성,NORMAL
Perfluorodecalin,지성,CAUTION
Perfluorodecalin,복합성,NORMAL
PEG-20 Glyceryl Triisostearate,건성,NORMAL
PEG-20 Glyceryl Triisostearate,지성,NORMAL
PEG-20 Glyceryl Triisostearate,복합성,NORMAL
Pongamia Glabra Seed Oil,건성,NORMAL
Pongamia Glabra Seed Oil,지성,NORMAL
Pongamia Glabra Seed Oil,복합성,NORMAL
Ethylhexyl Stearate,건성,NORMAL
Ethylhexyl Stearate,지성,NORMAL
Ethylhexyl Stearate,복합성,NORMAL
Kaolin,건성,CAUTION
Kaolin,지성,GOOD
Kaolin,복합성,CAUTION
Sorbitan Trioleate,건성,NORMAL
Sorbitan Trioleate,지성,NORMAL
Sorbitan Trioleate,복합성,NORMAL
Sodium Cocoyl Isethionate,건성,GOOD
Sodium Cocoyl Isethionate,지성,NORMAL
Sodium Cocoyl Isethionate,복합성,GOOD
Disodium Cocoamphodipropionate,건성,NORMAL
Disodium Cocoamphodipropionate,지성,NORMAL
Disodium Cocoamphodipropionate,복합성,NORMAL
Citrus Nobilis Peel Oil,건성,CAUTION
Citrus Nobilis Peel Oil,지성,CAUTION
Citrus Nobilis Peel Oil,복합성,CAUTION
Sodium Lauroyl Glutamate,건성,NORMAL
Sodium Lauroyl Glutamate,지성,NORMAL
Sodium Lauroyl Glutamate,복합성,NORMAL
Isoamyl Cocoate,건성,GOOD
Isoamyl Cocoate,지성,GOOD
Isoamyl Cocoate,복합성,NORMAL
Disodium Lauryl Sulfosuccinate,건성,CAUTION
Disodium Lauryl Sulfosuccinate,지성,NORMAL
Disodium Lauryl Sulfosuccinate,복합성,NORMAL
Colloidal Oatmeal,건성,NORMAL
Colloidal Oatmeal,지성,NORMAL
Colloidal Oatmeal,복합성,NORMAL
C20-40 Pareth-10,건성,GOOD
C20-40 Pareth-10,지성,CAUTION
C20-40 Pareth-10,복합성,CAUTION
Olive Oil PEG-7 Esters,건성,GOOD
Olive Oil PEG-7 Esters,지성,CAUTION
Olive Oil PEG-7 Esters,복합성,CAUTION
Polymethylsilsesquioxane,건성,NORMAL
Polymethylsilsesquioxane,지성,NORMAL
Polymethylsilsesquioxane,복합성,NORMAL
PEG-6,건성,NORMAL
PEG-6,지성,NORMAL
PEG-6,복합성,NORMAL
C14-22 Alcohols,건성,NORMAL
C14-22 Alcohols,지성,NORMAL
C14-22 Alcohols,복합성,NORMAL
Cetyl Dimethicone,건성,NORMAL
Cetyl Dimethicone,지성,NORMAL
Cetyl Dimethicone,복합성,NORMAL
Potassium Cetyl Phosphate,건성,NORMAL
Potassium Cetyl Phosphate,지성,NORMAL
Potassium Cetyl Phosphate,복합성,NORMAL
Petrolatum,건성,GOOD
Petrolatum,지성,CAUTION
Petrolatum,복합성,CAUTION
Disodium Laureth Sulfosuccinate,건성,CAUTION
Disodium Laureth Sulfosuccinate,지성,NORMAL
Disodium Laureth Sulfosuccinate,복합성,NORMAL
Sucrose Palmitate,건성,GOOD
Sucrose Palmitate,지성,NORMAL
Sucrose Palmitate,복합성,NORMAL
Sucrose Stearate,건성,GOOD
Sucrose Stearate,지성,NORMAL
Sucrose Stearate,복합성,NORMAL
Ethylhexyl Hydroxystearate,건성,NORMAL
Ethylhexyl Hydroxystearate,지성,CAUTION
Ethylhexyl Hydroxystearate,복합성,NORMAL
C12-20 Alkyl Glucoside,건성,NORMAL
C12-20 Alkyl Glucoside,지성,NORMAL
C12-20 Alkyl Glucoside,복합성,NORMAL
Sodium Ascorbyl Phosphate,건성,NORMAL
Sodium Ascorbyl Phosphate,지성,GOOD
Sodium Ascorbyl Phosphate,복합성,NORMAL
Montmorillonite,건성,CAUTION
Montmorillonite,지성,GOOD
Montmorillonite,복합성,CAUTION
Potassium Azeloyl Diglycinate,건성,NORMAL
Potassium Azeloyl Diglycinate,지성,GOOD
Potassium Azeloyl Diglycinate,복합성,GOOD
Resveratrol,건성,NORMAL
Resveratrol,지성,NORMAL
Resveratrol,복합성,NORMAL
Bentonite,건성,NORMAL
Bentonite,지성,GOOD
Bentonite,복합성,NORMAL
Sarcodon Aspratus Extract,건성,NORMAL
Sarcodon Aspratus Extract,지성,NORMAL
Sarcodon Aspratus Extract,복합성,NORMAL
Tuber Melanosporum Extract,건성,GOOD
Tuber Melanosporum Extract,지성,NORMAL
Tuber Melanosporum Extract,복합성,NORMAL
Zanthoxylum Piperitum Fruit Extract,건성,CAUTION
Zanthoxylum Piperitum Fruit Extract,지성,CAUTION
Zanthoxylum Piperitum Fruit Extract,복합성,CAUTION
Arachidyl Glucoside,건성,GOOD
Arachidyl Glucoside,지성,GOOD
Arachidyl Glucoside,복합성,GOOD
Arachidyl Alcohol,건성,NORMAL
Arachidyl Alcohol,지성,NORMAL
Arachidyl Alcohol,복합성,NORMAL
Usnea Barbata Extract,건성,NORMAL
Usnea Barbata Extract,지성,NORMAL
Usnea Barbata Extract,복합성,NORMAL
Pulsatilla Koreana Extract,건성,CAUTION
Pulsatilla Koreana Extract,지성,NORMAL
Pulsatilla Koreana Extract,복합성,NORMAL
Linum Usitatissimum Seed Oil,건성,GOOD
Linum Usitatissimum Seed Oil,지성,NORMAL
Linum Usitatissimum Seed Oil,복합성,NORMAL
Citrus Aurantium Bergamia Fruit Oil,건성,CAUTION
Citrus Aurantium Bergamia Fruit Oil,지성,CAUTION
Citrus Aurantium Bergamia Fruit Oil,복합성,CAUTION
Linolenic Acid,건성,GOOD
Linolenic Acid,지성,NORMAL
Linolenic Acid,복합성,NORMAL
Zinc Oxide,건성,CAUTION
Zinc Oxide,지성,NORMAL
Zinc Oxide,복합성,CAUTION
Citrus Reticulata Peel Oil,건성,CAUTION
Citrus Reticulata Peel Oil,지성,CAUTION
Citrus Reticulata Peel Oil,복합성,CAUTION
Bis Stearyl Ethylenediamine/?Neopentyl Glycol/?Stearyl Hydrogenated Dimer Dilinoleate Copolymer,건성,NORMAL
