ingredient,skin_type,label
Ammonium Glycolate,건성,NORMAL
Ammonium Glycolate,지성,GOOD
Ammonium Glycolate,복합성,NORMAL
Hamamelis Virginiana  Leaf Extract,건성,CAUTION
Hamamelis Virginiana  Leaf Extract,지성,GOOD
Hamamelis Virginiana  Leaf Extract,복합성,GOOD
Galactoarabinan,건성,GOOD
Galactoarabinan,지성,NORMAL
Galactoarabinan,복합성,NORMAL
Adenosine,건성,GOOD
Adenosine,지성,NORMAL
Adenosine,복합성,NORMAL
Glucose,건성,GOOD
Glucose,지성,NORMAL
Glucose,복합성,NORMAL
Fructose,건성,GOOD
Fructose,지성,NORMAL
Fructose,복합성,NORMAL
Dextrin,건성,NORMAL
Dextrin,지성,NORMAL
Dextrin,복합성,NORMAL
Urea,건성,GOOD
Urea,지성,NORMAL
Urea,복합성,GOOD
Sucrose,건성,GOOD
Sucrose,지성,NORMAL
Sucrose,복합성,NORMAL
Alanine,건성,NORMAL
Alanine,지성,NORMAL
Alanine,복합성,NORMAL
Glutamic Acid,건성,GOOD
Glutamic Acid,지성,NORMAL
Glutamic Acid,복합성,GOOD
Hexyl Nicotinate,건성,GOOD
Hexyl Nicotinate,지성,NORMAL
Hexyl Nicotinate,복합성,NORMAL
Biotin,건성,NORMAL
Biotin,지성,NORMAL
Biotin,복합성,NORMAL
Caprylic/?Capric Triglyceride,건성,GOOD
Caprylic/?Capric Triglyceride,지성,NORMAL
Caprylic/?Capric Triglyceride,복합성,GOOD
Corylus Avellana  Seed Oil,건성,GOOD
Corylus Avellana  Seed Oil,지성,NORMAL
Corylus Avellana  Seed Oil,복합성,NORMAL
Propylene Glycol Dicaprylate/?Dicaprate,건성,GOOD
Propylene Glycol Dicaprylate/?Dicaprate,지성,GOOD
Propylene Glycol Dicaprylate/?Dicaprate,복합성,NORMAL
Prunus Amygdalus Dulcis Oil,건성,GOOD
Prunus Amygdalus Dulcis Oil,지성,NORMAL
Prunus Amygdalus Dulcis Oil,복합성,NORMAL
Triticum Vulgare Germ Extract,건성,NORMAL
Triticum Vulgare Germ Extract,지성,NORMAL
Triticum Vulgare Germ Extract,복합성,NORMAL
Sodium Benzoate,건성,NORMAL
Sodium Benzoate,지성,NORMAL
Sodium Benzoate,복합성,NORMAL
Pentylene Glycol,건성,NORMAL
Pentylene Glycol,지성,NORMAL
Pentylene Glycol,복합성,NORMAL
Panax Ginseng Root Extract,건성,NORMAL
Panax Ginseng Root Extract,지성,NORMAL
Panax Ginseng Root Extract,복합성,NORMAL
Retinyl Palmitate,건성,NORMAL
Retinyl Palmitate,지성,NORMAL
Retinyl Palmitate,복합성,NORMAL
BHA,건성,CAUTION
BHA,지성,GOOD
BHA,복합성,NORMAL
Polyacrylamide,건성,NORMAL
Polyacrylamide,지성,CAUTION
Polyacrylamide,복합성,NORMAL
Ethyl Linolenate,건성,NORMAL
Ethyl Linolenate,지성,NORMAL
Ethyl Linolenate,복합성,NORMAL
P-Anisic Acid,건성,NORMAL
P-Anisic Acid,지성,NORMAL
P-Anisic Acid,복합성,NORMAL
Cetearyl Alcohol,건성,NORMAL
Cetearyl Alcohol,지성,NORMAL
Cetearyl Alcohol,복합성,NORMAL
Cetyl Palmitate,건성,GOOD
Cetyl Palmitate,지성,CAUTION
Cetyl Palmitate,복합성,NORMAL
BHT,건성,NORMAL
BHT,지성,NORMAL
BHT,복합성,NORMAL
Magnesium Chloride,건성,NORMAL
Magnesium Chloride,지성,NORMAL
Magnesium Chloride,복합성,NORMAL
Laureth-7,건성,GOOD
Laureth-7,지성,CAUTION
Laureth-7,복합성,NORMAL
Vinegar,건성,CAUTION
Vinegar,지성,CAUTION
Vinegar,복합성,CAUTION
C13-14 Isoparaffin,건성,GOOD
C13-14 Isoparaffin,지성,CAUTION
C13-14 Isoparaffin,복합성,NORMAL
Serine,건성,GOOD
Serine,지성,NORMAL
Serine,복합성,NORMAL
Cetearyl Isononanoate,건성,NORMAL
Cetearyl Isononanoate,지성,NORMAL
Cetearyl Isononanoate,복합성,NORMAL
Cochlearia Armoracia Root Extract,건성,NORMAL
Cochlearia Armoracia Root Extract,지성,NORMAL
Cochlearia Armoracia Root Extract,복합성,NORMAL
Sodium Lactate,건성,NORMAL
Sodium Lactate,지성,NORMAL
Sodium Lactate,복합성,NORMAL
Sodium Salicylate,건성,NORMAL
Sodium Salicylate,지성,GOOD
Sodium Salicylate,복합성,NORMAL
Arctium Lappa Root Extract,건성,NORMAL
Arctium Lappa Root Extract,지성,CAUTION
Arctium Lappa Root Extract,복합성,NORMAL
Arnica Montana Flower Extract,건성,NORMAL
Arnica Montana Flower Extract,지성,NORMAL
Arnica Montana Flower Extract,복합성,NORMAL
Tea-Lactate,건성,NORMAL
Tea-Lactate,지성,NORMAL
Tea-Lactate,복합성,NORMAL
Rumex Acetosa Leaf Extract,건성,NORMAL
Rumex Acetosa Leaf Extract,지성,NORMAL
Rumex Acetosa Leaf Extract,복합성,NORMAL
Phytic Acid,건성,NORMAL
Phytic Acid,지성,NORMAL
Phytic Acid,복합성,NORMAL
Sorbitol,건성,GOOD
Sorbitol,지성,NORMAL
Sorbitol,복합성,NORMAL
Myrtus Communis Extract,건성,CAUTION
Myrtus Communis Extract,지성,GOOD
Myrtus Communis Extract,복합성,CAUTION
Allium Cepa Bulb Extract,건성,NORMAL
Allium Cepa Bulb Extract,지성,NORMAL
Allium Cepa Bulb Extract,복합성,NORMAL
Malic Acid,건성,NORMAL
Malic Acid,지성,NORMAL
Malic Acid,복합성,NORMAL
Commiphora Myrrha Resin Extract,건성,CAUTION
Commiphora Myrrha Resin Extract,지성,GOOD
Commiphora Myrrha Resin Extract,복합성,NORMAL
Ethyl Oleate,건성,GOOD
Ethyl Oleate,지성,NORMAL
Ethyl Oleate,복합성,NORMAL
Sulfur,건성,CAUTION
Sulfur,지성,GOOD
Sulfur,복합성,NORMAL
Thymus Vulgaris  Flower/?Leaf Oil,건성,CAUTION
Thymus Vulgaris  Flower/?Leaf Oil,지성,CAUTION
Thymus Vulgaris  Flower/?Leaf Oil,복합성,CAUTION
Gluconolactone,건성,CAUTION
Gluconolactone,지성,GOOD
Gluconolactone,복합성,GOOD
Ethyl Linoleate,건성,NORMAL
Ethyl Linoleate,지성,NORMAL
Ethyl Linoleate,복합성,NORMAL
Sodium Gluconate,건성,NORMAL
Sodium Gluconate,지성,NORMAL
Sodium Gluconate,복합성,NORMAL
Capsicum Frutescens Fruit Extract,건성,NORMAL
Capsicum Frutescens Fruit Extract,지성,NORMAL
Capsicum Frutescens Fruit Extract,복합성,NORMAL
Hexanoyl Dipeptide-3 Norleucine Acetate,건성,NORMAL
Hexanoyl Dipeptide-3 Norleucine Acetate,지성,NORMAL
Hexanoyl Dipeptide-3 Norleucine Acetate,복합성,NORMAL
Yeast Extract,건성,GOOD
Yeast Extract,지성,NORMAL
Yeast Extract,복합성,GOOD
Soy Amino Acids,건성,NORMAL
Soy Amino Acids,지성,NORMAL
Soy Amino Acids,복합성,NORMAL
Lecithin,건성,GOOD
Lecithin,지성,NORMAL
Lecithin,복합성,NORMAL
Hydroxyethyl Acrylate/?Sodium Acryloyldimethyl Taurate Copolymer,건성,NORMAL
Hydroxyethyl Acrylate/?Sodium Acryloyldimethyl Taurate Copolymer,지성,NORMAL
Hydroxyethyl Acrylate/?Sodium Acryloyldimethyl Taurate Copolymer,복합성,NORMAL
Bisabolol,건성,NORMAL
Bisabolol,지성,NORMAL
Bisabolol,복합성,NORMAL
Myristoyl Nonapeptide-3,건성,CAUTION
Myristoyl Nonapeptide-3,지성,NORMAL
Myristoyl Nonapeptide-3,복합성,NORMAL
Trisodium Ethylenediamine Disuccinate,건성,NORMAL
Trisodium Ethylenediamine Disuccinate,지성,NORMAL
Trisodium Ethylenediamine Disuccinate,복합성,NORMAL
Sorbitan Isostearate,건성,NORMAL
Sorbitan Isostearate,지성,NORMAL
Sorbitan Isostearate,복합성,NORMAL
Sodium Chloride,건성,NORMAL
Sodium Chloride,지성,NORMAL
Sodium Chloride,복합성,NORMAL
Alcohol Denat.,건성,CAUTION
Alcohol Denat.,지성,NORMAL
Alcohol Denat.,복합성,CAUTION
Pseudoalteromonas Exopolysaccharides,건성,GOOD
Pseudoalteromonas Exopolysaccharides,지성,NORMAL
Pseudoalteromonas Exopolysaccharides,복합성,NORMAL
Polysorbate 60,건성,NORMAL
Polysorbate 60,지성,NORMAL
Polysorbate 60,복합성,NORMAL
Isohexadecane,건성,GOOD
Isohexadecane,지성,GOOD
Isohexadecane,복합성,GOOD
Polyacrylate Crosspolymer-6,건성,NORMAL
Polyacrylate Crosspolymer-6,지성,NORMAL
Polyacrylate Crosspolymer-6,복합성,NORMAL
Bis-PEG-18 Methyl Ether Dimethyl Silane,건성,NORMAL
Bis-PEG-18 Methyl Ether Dimethyl Silane,지성,NORMAL
Bis-PEG-18 Methyl Ether Dimethyl Silane,복합성,NORMAL
Palmitoyl Tripeptide-38,건성,GOOD
Palmitoyl Tripeptide-38,지성,NORMAL
Palmitoyl Tripeptide-38,복합성,NORMAL
Lactobionic Acid,건성,GOOD
Lactobionic Acid,지성,GOOD
Lactobionic Acid,복합성,GOOD
Copper Lysinate/?Prolinate,건성,NORMAL
Copper Lysinate/?Prolinate,지성,NORMAL
Copper Lysinate/?Prolinate,복합성,NORMAL
Methylglucoside Phosphate,건성,NORMAL
Methylglucoside Phosphate,지성,NORMAL
Methylglucoside Phosphate,복합성,NORMAL
Ahnfeltia Concinna Extract,건성,GOOD
Ahnfeltia Concinna Extract,지성,NORMAL
Ahnfeltia Concinna Extract,복합성,NORMAL
Tamarindus Indica Seed Gum,건성,NORMAL
Tamarindus Indica Seed Gum,지성,NORMAL
Tamarindus Indica Seed Gum,복합성,NORMAL
Hydrolyzed Yeast Extract,건성,GOOD
Hydrolyzed Yeast Extract,지성,NORMAL
Hydrolyzed Yeast Extract,복합성,NORMAL
Polyglucuronic Acid,건성,GOOD
Polyglucuronic Acid,지성,NORMAL
Polyglucuronic Acid,복합성,NORMAL
Saccharide Isomerate,건성,GOOD
Saccharide Isomerate,지성,NORMAL
Saccharide Isomerate,복합성,NORMAL
Chlorphenesin,건성,CAUTION
Chlorphenesin,지성,NORMAL
Chlorphenesin,복합성,NORMAL
Lactobacillus/?Eriodictyon Californicum Ferment Extract,건성,GOOD
Lactobacillus/?Eriodictyon Californicum Ferment Extract,지성,NORMAL
Lactobacillus/?Eriodictyon Californicum Ferment Extract,복합성,NORMAL
Cetyl Hydroxyethylcellulose,건성,NORMAL
Cetyl Hydroxyethylcellulose,지성,NORMAL
Cetyl Hydroxyethylcellulose,복합성,NORMAL
Phospholipids,건성,GOOD
Phospholipids,지성,NORMAL
Phospholipids,복합성,NORMAL
Hydrolyzed Sodium Hyaluronate,건성,GOOD
Hydrolyzed Sodium Hyaluronate,지성,GOOD
Hydrolyzed Sodium Hyaluronate,복합성,GOOD
Hydroxypropyl Cyclodextrin,건성,NORMAL
Hydroxypropyl Cyclodextrin,지성,NORMAL
Hydroxypropyl Cyclodextrin,복합성,NORMAL
Sodium Citrate,건성,NORMAL
Sodium Citrate,지성,NORMAL
Sodium Citrate,복합성,NORMAL
Leuconostoc/?Radish Root Ferment Filtrate,건성,CAUTION
Leuconostoc/?Radish Root Ferment Filtrate,지성,NORMAL
Leuconostoc/?Radish Root Ferment Filtrate,복합성,NORMAL
Hexyl Cinnamal,건성,CAUTION
Hexyl Cinnamal,지성,CAUTION
Hexyl Cinnamal,복합성,CAUTION
Benzyl Salicylate,건성,CAUTION
Benzyl Salicylate,지성,CAUTION
Benzyl Salicylate,복합성,CAUTION
Geraniol,건성,CAUTION
Geraniol,지성,CAUTION
Geraniol,복합성,CAUTION
Pseudoalteromonas Ferment Extract,건성,NORMAL
Pseudoalteromonas Ferment Extract,지성,GOOD
Pseudoalteromonas Ferment Extract,복합성,NORMAL
Cocamidopropyl Betaine,건성,GOOD
Cocamidopropyl Betaine,지성,NORMAL
Cocamidopropyl Betaine,복합성,GOOD
Silica,건성,NORMAL
Silica,지성,NORMAL
Silica,복합성,NORMAL
Citral,건성,CAUTION
Citral,지성,CAUTION
Citral,복합성,CAUTION
Butylphenyl Methylpropional,건성,CAUTION
Butylphenyl Methylpropional,지성,CAUTION
Butylphenyl Methylpropional,복합성,CAUTION
Benzyl Alcohol,건성,CAUTION
Benzyl Alcohol,지성,CAUTION
Benzyl Alcohol,복합성,CAUTION
Sodium Laureth Sulfate,건성,CAUTION
Sodium Laureth Sulfate,지성,NORMAL
Sodium Laureth Sulfate,복합성,NORMAL
Alpha-Isomethyl Ionone,건성,CAUTION
Alpha-Isomethyl Ionone,지성,CAUTION
Alpha-Isomethyl Ionone,복합성,CAUTION
Coumarin,건성,CAUTION
Coumarin,지성,CAUTION
Coumarin,복합성,CAUTION
Stearic Acid,건성,GOOD
Stearic Acid,지성,NORMAL
Stearic Acid,복합성,NORMAL
Ci 77891,건성,NORMAL
Ci 77891,지성,NORMAL
Ci 77891,복합성,NORMAL
Ci 77491,건성,NORMAL
Ci 77491,지성,NORMAL
Ci 77491,복합성,NORMAL
Sodium PCA,건성,GOOD
Sodium PCA,지성,GOOD
Sodium PCA,복합성,GOOD
Chamomilla Recutita Flower Extract,건성,NORMAL
Chamomilla Recutita Flower Extract,지성,NORMAL
Chamomilla Recutita Flower Extract,복합성,NORMAL
Ci 77499,건성,NORMAL
Ci 77499,지성,NORMAL
Ci 77499,복합성,NORMAL
Butyrospermum Parkii Butter,건성,GOOD
Butyrospermum Parkii Butter,지성,CAUTION
Butyrospermum Parkii Butter,복합성,NORMAL
Acetyl Glucosamine,건성,GOOD
Acetyl Glucosamine,지성,GOOD
Acetyl Glucosamine,복합성,GOOD
Polyquaternium-10,건성,NORMAL
Polyquaternium-10,지성,NORMAL
Polyquaternium-10,복합성,NORMAL
Ubiquinone,건성,NORMAL
Ubiquinone,지성,NORMAL
Ubiquinone,복합성,NORMAL
Genistein,건성,NORMAL
Genistein,지성,NORMAL
Genistein,복합성,NORMAL
Cetyl Alcohol,건성,NORMAL
Cetyl Alcohol,지성,NORMAL
Cetyl Alcohol,복합성,NORMAL
Ascorbyl Glucoside,건성,NORMAL
Ascorbyl Glucoside,지성,NORMAL
Ascorbyl Glucoside,복합성,NORMAL
Epigallocatechin Gallate,건성,NORMAL
Epigallocatechin Gallate,지성,NORMAL
Epigallocatechin Gallate,복합성,NORMAL
Glycyrrhiza Glabra  Root Extract,건성,NORMAL
Glycyrrhiza Glabra  Root Extract,지성,NORMAL
Glycyrrhiza Glabra  Root Extract,복합성,NORMAL
Ci 77492,건성,NORMAL
Ci 77492,지성,NORMAL
Ci 77492,복합성,NORMAL
Dipotassium Glycyrrhizate,건성,NORMAL
Dipotassium Glycyrrhizate,지성,GOOD
Dipotassium Glycyrrhizate,복합성,NORMAL
Carnosine,건성,NORMAL
Carnosine,지성,NORMAL
Carnosine,복합성,NORMAL
Polyquaternium-51,건성,GOOD
Polyquaternium-51,지성,NORMAL
Polyquaternium-51,복합성,NORMAL
Ulmus Davidiana Root Extract,건성,GOOD
Ulmus Davidiana Root Extract,지성,NORMAL
Ulmus Davidiana Root Extract,복합성,NORMAL
Piper Methysticum Leaf/?Root/?Stem Extract,건성,NORMAL
Piper Methysticum Leaf/?Root/?Stem Extract,지성,NORMAL
Piper Methysticum Leaf/?Root/?Stem Extract,복합성,NORMAL
Betaine,건성,GOOD
Betaine,지성,NORMAL
Betaine,복합성,GOOD
Amaranthus Caudatus Seed Extract,건성,GOOD
Amaranthus Caudatus Seed Extract,지성,GOOD
Amaranthus Caudatus Seed Extract,복합성,GOOD
Hydrogenated Lecithin,건성,GOOD
Hydrogenated Lecithin,지성,NORMAL
Hydrogenated Lecithin,복합성,NORMAL
Hydrolyzed Corn Starch,건성,NORMAL
Hydrolyzed Corn Starch,지성,NORMAL
Hydrolyzed Corn Starch,복합성,NORMAL
Phellodendron Amurense Bark Extract,건성,NORMAL
Phellodendron Amurense Bark Extract,지성,NORMAL
Phellodendron Amurense Bark Extract,복합성,NORMAL
Trehalose,건성,GOOD
Trehalose,지성,NORMAL
Trehalose,복합성,NORMAL
Beta Vulgaris Root Extract,건성,GOOD
Beta Vulgaris Root Extract,지성,NORMAL
